n_sample,party,est,LI,LS
1,participacion,60.26352385608719,59.281158541643855,61.245889170530525
1,pan_na,48.38837463686572,47.611088965219174,49.165660308512265
1,pri_pvem,40.27816062615001,39.540472387381726,41.0158488649183
1,prd,5.183523235737068,4.717724235611157,5.6493222358629795
1,otros,3.6409065333791277,3.396690255418003,3.8851228113402523
1,pt,1.2932968962537248,1.1118304029438155,1.474763389563634
1,mc,1.2157380716143482,0.801159154179224,1.6303169890494724
10,participacion,60.310896665491306,59.376244530498546,61.245548800484066
10,pan_na,49.478035704686526,48.729664044765464,50.22640736460759
10,pri_pvem,40.146274976250645,39.39905351543579,40.8934964370655
10,prd,4.91861010121312,4.509803893431528,5.327416308994712
10,otros,3.414376092696916,3.2446217878630823,3.58413039753075
10,pt,1.2518916581552935,1.0484557924539146,1.4553275238566723
10,mc,0.7908114669974956,0.598633262420755,0.9829896715742362
100,participacion,60.19188362730943,59.23388622834508,61.14988102627378
100,pan_na,48.520662094216114,47.73733464606234,49.30398954236989
100,pri_pvem,40.734162464976734,39.986447094393164,41.481877835560304
100,prd,5.151760384463936,4.724602725381216,5.578918043546655
100,otros,3.586420960906339,3.3465861833059747,3.826255738506703
100,pt,1.234310544591303,1.1142905388654283,1.3543305503171776
100,mc,0.7726835508455789,0.5940506241810797,0.9513164775100782
11,participacion,60.90899908691446,59.93974121731352,61.87825695651541
11,pan_na,48.888727786491,48.10851838222432,49.66893719075769
11,pri_pvem,40.24248438650492,39.477773185424056,41.007195587585784
11,prd,4.9625635569151045,4.510803918989452,5.414323194840757
11,otros,3.538094926843358,3.316919233868739,3.7592706198179773
11,pt,1.3578146944545648,1.1366595900137004,1.5789697988954292
11,mc,1.0103146487910455,0.6774119928440465,1.3432173047380445
12,participacion,60.458881152986386,59.5098786091932,61.40788369677957
12,pan_na,47.83645654006218,47.06245114858447,48.61046193153989
12,pri_pvem,40.717078525217545,39.962689642665,41.47146740777009
12,prd,5.609366629813444,5.11066617899931,6.108067080627578
12,otros,3.7101036961243983,3.432511120728594,3.9876962715202025
12,pt,1.2684973250083025,1.1093874194977633,1.4276072305188416
12,mc,0.8584972837741305,0.5812863405641107,1.1357082269841503
13,participacion,59.83647401173228,58.89950422949023,60.77344379397432
13,pan_na,48.35713041788198,47.56914890594893,49.14511192981504
13,pri_pvem,40.79279964055099,40.04983152557424,41.535767755527736
13,prd,5.258849149919527,4.836060192650455,5.681638107188599
13,otros,3.343694796042793,3.1700824996513464,3.51730709243424
13,pt,1.159696996882594,1.0553335807296302,1.264060413035558
13,mc,1.0878289987221124,0.7640992291602087,1.411558768284016
14,participacion,59.999247226224526,59.01696522250746,60.98152922994159
14,pan_na,47.713673652385296,46.928529129701225,48.49881817506937
14,pri_pvem,41.23901635598352,40.49170127151588,41.98633144045117
14,prd,5.196152406399138,4.683144246376255,5.709160566422021
14,otros,3.525641373872136,3.351048838038534,3.700233909705738
14,pt,1.267125056568769,1.1501414961171066,1.3841086170204315
14,mc,1.0583911547911429,0.692098222804288,1.4246840867779977
15,participacion,60.830169178235785,59.916616557626156,61.743721798845414
15,pan_na,48.010995247909044,47.21566023314694,48.806330262671146
15,pri_pvem,41.241095144435114,40.44675658032169,42.03543370854854
15,prd,5.134361648472453,4.664373564740519,5.604349732204387
15,otros,3.4131266888344327,3.2306819135720115,3.595571464096854
15,pt,1.3287371792592453,1.187889820096775,1.4695845384217157
15,mc,0.8716840910897117,0.621597810941301,1.1217703712381224
16,participacion,60.52959882689266,59.65137275990362,61.407824893881696
16,pan_na,48.7551408404596,47.9911331621536,49.519148518765604
16,pri_pvem,40.398539775033306,39.69533432021701,41.101745229849605
16,prd,4.872006615953117,4.47019197662406,5.273821255282174
16,otros,3.4570173065882575,3.264060047450405,3.64997456572611
16,mc,1.3416330609073523,0.9668178026484421,1.7164483191662625
16,pt,1.1756624010583652,1.035682056144771,1.3156427459719593
17,participacion,60.52425049386551,59.602561043848524,61.44593994388249
17,pan_na,48.43794577299385,47.65087732118833,49.22501422479937
17,pri_pvem,40.53723552018533,39.80019614232831,41.27427489804234
17,prd,5.130979046268731,4.710284952506459,5.551673140031003
17,otros,3.5804187916848855,3.339184722069552,3.821652861300219
17,pt,1.1859673659744039,1.0546089281954194,1.3173258037533884
