n_sample,party,est,LI,LS
1,pan_na,47.56887212497538,46.696649384181676,48.44109486576908
1,pri_pvem,40.96380775233411,40.156800466104634,41.77081503856359
1,prd,5.2063227235708265,4.61747965664183,5.795165790499823
1,otros,3.754690970359895,3.4819059539060424,4.027475986813748
1,pt,1.3014883609251775,1.0740600177896513,1.5289167040607037
1,mc,1.2048180678346143,0.8498340035540142,1.5598021321152145
2,pan_na,47.818994795563526,47.014233344298475,48.62375624682858
2,pri_pvem,40.69895971423039,39.926915836092945,41.471003592367836
2,prd,5.358674338432372,4.846014896008633,5.87133378085611
2,otros,3.736665533344851,3.43134194689133,4.041989119798372
2,pt,1.2887203654114996,1.053207446297669,1.5242332845253301
2,mc,1.0979852530173648,0.7390250558825864,1.4569454501521433
3,pan_na,47.58694747195806,46.75247178986279,48.421423154053336
3,pri_pvem,41.55353539271954,40.73674890740511,42.37032187803397
3,prd,5.289826576192396,4.778209775884565,5.8014433765002265
3,otros,3.505136844888569,3.3268967943297976,3.6833768954473407
3,pt,1.162520622305698,0.9805369702095488,1.3445042744018474
3,mc,0.9020330919357343,0.6600550186909651,1.1440111651805036
4,pan_na,47.548755163074205,46.738219755054054,48.359290571094355
4,pri_pvem,40.61115679981867,39.771957693950824,41.45035590568652
4,prd,5.502479698401065,4.958862197485239,6.0460971993168915
4,otros,3.8704746397058503,3.604710383205526,4.136238896206175
4,pt,1.4427629638897594,1.2095522778978736,1.6759736498816453
4,mc,1.0243707351104465,0.6852829111810044,1.3634585590398887
5,pan_na,47.6992415916984,46.92660556935862,48.471877614038185
5,pri_pvem,41.06939667400245,40.317865603140795,41.8209277448641
5,prd,5.445462225405683,4.922590129079811,5.968334321731554
5,otros,3.7179238252379445,3.3912265605211513,4.044621089954737
5,pt,1.2935980141189216,1.0488244710909467,1.5383715571468966
5,mc,0.7743776695365908,0.5992181232448456,0.9495372158283361
6,pan_na,47.350488239806666,46.53217295975905,48.16880351985428
6,pri_pvem,41.276311465085314,40.46142338431323,42.0911995458574
6,prd,5.320148352085143,4.842670972363712,5.797625731806574
6,otros,3.738037200583226,3.531920964356904,3.9441534368095477
6,pt,1.2799088386935853,1.0591386895103478,1.5006789878768227
6,mc,1.0351059037460648,0.693668263498752,1.3765435439933777
7,pan_na,48.02611316278715,47.18662281588007,48.865603509694225
7,pri_pvem,40.23160597277718,39.41626161904609,41.046950326508274
7,prd,5.511590475993986,4.905514226977998,6.1176667250099745
7,otros,3.663684217967206,3.4437260714989923,3.8836423644354197
7,pt,1.4741413158466339,1.221988033436496,1.7262945982567717
7,mc,1.0928648546278417,0.6198412011749906,1.5658885080806928
8,pan_na,47.53543753365299,46.72004171986029,48.350833347445686
8,pri_pvem,41.45309098394475,40.667330467145135,42.23885150074436
8,prd,5.103698366613768,4.649658138049644,5.557738595177892
8,otros,3.542282066571225,3.338949395853564,3.745614737288886
8,pt,1.4596928118543755,1.1057386408947547,1.8136469828139963
8,mc,0.9057982373629005,0.5957856613125896,1.2158108134132115
9,pan_na,47.174078353969044,46.24952456574119,48.0986321421969
9,pri_pvem,41.603737028364066,40.72512949469294,42.48234456203519
9,prd,5.084415831726388,4.616386811770389,5.552444851682387
9,otros,3.9178686468810926,3.5545519691545824,4.281185324607603
9,pt,1.4679864846832391,1.174319842205822,1.7616531271606561
9,mc,0.7519136543761675,0.6022792028985222,0.9015481058538128
10,pan_na,48.262524057657934,47.436458584004825,49.088589531311044
10,pri_pvem,41.058226707286785,40.24208328437789,41.87437013019568
10,prd,5.011478763290683,4.534833219521568,5.488124307059799
10,otros,3.5091133940347228,3.3384194295075456,3.6798073585619
10,pt,1.224273598984618,1.0254593274129542,1.423087870556282
10,mc,0.9343834787452534,0.6048877031571127,1.263879254333394
11,pan_na,48.081153858097736,47.187402014325656,48.974905701869815
11,pri_pvem,40.756721123079885,39.87368632668656,41.63975591947321
11,prd,5.045198995749894,4.5782197679942165,5.512178223505572
11,otros,3.635311792352062,3.3622318329542447,3.908391751749879
11,pt,1.3143393444460851,1.0894677862169773,1.539210902675193
11,mc,1.167274886274338,0.7732473847557053,1.5613023877929708
12,pan_na,47.260156018837726,46.402562168509,48.11774986916645
12,pri_pvem,40.966348198774845,40.13594214486329,41.7967542526864
12,prd,5.816675346624575,5.182195331118671,6.451155362130479
12,otros,3.8069575401096185,3.493300757983706,4.120614322235531
12,pt,1.3152878028143924,1.090737763923613,1.5398378417051717
12,mc,0.8345750928388487,0.5595394826740367,1.1096107030036606
13,pan_na,47.69652807055088,46.792786955862454,48.60026918523931
13,pri_pvem,40.95070712581095,40.10967259031946,41.79174166130244
13,prd,5.569096530867887,5.025102760355722,6.113090301380051
13,otros,3.5526955363816697,3.3377200072680497,3.7676710654952896
13,pt,1.1663339175362144,1.0360610190523434,1.2966068160200854
13,mc,1.0646388188523948,0.6508692891461669,1.4784083485586226
14,pan_na,46.86174274572733,45.996150304008864,47.72733518744579
14,pri_pvem,41.946958673279205,41.060721053021574,42.83319629353684
14,prd,5.338942584632591,4.791617688273298,5.886267480991883
14,otros,3.481598153460827,3.3028563608692325,3.6603399460524217
14,pt,1.2698320377093644,1.0911907737199464,1.4484733016987823
14,mc,1.1009258051906885,0.6936271855342697,1.5082244248471073
15,pan_na,47.51593777839268,46.62104289317547,48.410832663609895
15,pri_pvem,41.28069587310122,40.42950789643731,42.13188384976514
15,prd,5.410073896326927,4.89514451051167,5.925003282142184
15,otros,3.49361669973332,3.2791628379393907,3.7080705615272493
15,pt,1.4101916749947814,1.182545410389729,1.6378379395998337
15,mc,0.8894840774510628,0.5931037927163312,1.1858643621857945
16,pan_na,48.031560801419324,47.19214993855852,48.87097166428013
16,pri_pvem,40.98289375905548,40.18828851244577,41.777499005665184
16,prd,5.046783972585832,4.522620645716886,5.570947299454778
16,otros,3.4577779042281147,3.2317484141779835,3.683807394278246
16,mc,1.244066247566992,0.8273442458800637,1.66078824925392
16,pt,1.2369173151442605,0.9960376858896486,1.4777969443988725
17,pan_na,47.47992560865653,46.601916762613726,48.35793445469933
17,pri_pvem,41.25543207930008,40.403617038759194,42.10724711984096
17,prd,5.374137303654333,4.822693097764739,5.925581509543927
17,otros,3.514715663876851,3.277517567669846,3.7519137600838564
17,pt,1.2428966442993523,1.0559936216563053,1.4297996669423993
17,mc,1.132892700212858,0.7363155112864956,1.5294698891392202
18,pan_na,47.0646932789385,46.25185431301987,47.87753224485713
18,pri_pvem,41.36760615393179,40.572652196092164,42.16256011177141
18,prd,5.475364618474799,4.932609431014552,6.018119805935046
18,otros,3.801448279330693,3.5420858099334778,4.060810748727908
18,pt,1.406385552568641,1.1578902511480424,1.6548808539892397
18,mc,0.8845021167555743,0.5622193836298188,1.2067848498813298
19,pan_na,48.043642165467546,47.29536805847586,48.79191627245923
19,pri_pvem,40.49227775850899,39.76538195735134,41.21917355966664
19,prd,5.235211180639084,4.758527373102451,5.711894988175716
19,otros,3.804171139697184,3.588894301878174,4.019447977516194
19,pt,1.5383804044571285,1.1639100730892264,1.9128507358250306
19,mc,0.886317351230065,0.6349142685744692,1.137720433885661
20,pan_na,48.188634830834474,47.39651812252478,48.980751539144165
20,pri_pvem,40.23201464570259,39.46721409800831,40.99681519339687
20,prd,5.4622996056784565,4.924903870298751,5.999695341058162
20,otros,3.746657045830224,3.447456987665412,4.045857103995036
20,pt,1.3166970998138114,1.0986317378110901,1.5347624618165328
20,mc,1.0536967721404453,0.6849053210115424,1.4224882232693483
21,pan_na,47.47484629633028,46.65431542018963,48.29537717247092
21,pri_pvem,41.200167756903106,40.404461082398335,41.99587443140788
21,prd,5.067951746123626,4.571323620691221,5.564579871556031
21,otros,3.6925431515228166,3.431423040695633,3.95366326235
21,mc,1.3537506662507668,0.9135950729508782,1.7939062595506554
21,pt,1.210740382869408,1.073085720865513,1.3483950448733033
22,pan_na,47.85391155524567,46.999053499669515,48.70876961082183
22,pri_pvem,41.17173577345072,40.29143639063931,42.05203515626213
22,prd,5.3751067812845745,4.905652967520009,5.84456059504914
22,otros,3.5827904089077136,3.248642552546867,3.91693826526856
22,pt,1.1596269912471808,1.0471043298623417,1.27214965263202
22,mc,0.8568284898641331,0.5601220047361116,1.1535349749921546
23,pan_na,47.292057711377325,46.460358830881866,48.123756591872784
23,pri_pvem,41.663334420410536,40.881503048101074,42.44516579272
23,prd,5.481652735182739,4.842309459805913,6.1209960105595655
23,otros,3.603655099281932,3.4036705753052723,3.8036396232585914
23,pt,1.252367776002667,1.0006324767124615,1.5041030752928726
23,mc,0.706932257744794,0.5228875644313993,0.8909769510581886
24,pan_na,47.703639907974406,46.85830055147429,48.548979264474525
24,pri_pvem,41.27492338224713,40.48612552304448,42.063721241449784
24,prd,4.998050099312486,4.48484133575593,5.511258862869043
24,otros,3.8075113374525142,3.4904198319054838,4.124602842999544
24,pt,1.2308318967504612,1.0009607667039901,1.4607030267969323
24,mc,0.9850433762630019,0.6189007031437087,1.351186049382295
25,pan_na,48.456369846774024,47.586432438343024,49.32630725520502
25,pri_pvem,39.88487824605331,39.06524984742282,40.7045066446838
25,prd,5.6725738826213465,5.037516072606031,6.3076316926366625
25,otros,3.695162393326378,3.4617005694756147,3.9286242171771413
25,pt,1.3615558367837453,1.103048725689956,1.6200629478775346
25,mc,0.9294597944411969,0.6582594646646749,1.2006601242177188
26,pan_na,47.65091123494928,46.85342166794964,48.448400801948914
26,pri_pvem,40.70437146461625,39.88528075701844,41.52346217221406
26,prd,5.477448156063655,4.9529351037921465,6.001961208335164
26,otros,3.556790511096007,3.353412593691226,3.7601684285007884
26,pt,1.480553244309059,1.1731953319022017,1.7879111567159163
26,mc,1.1299253889657463,0.6950100932702847,1.564840684661208
27,pan_na,47.77234377648008,46.9329691690878,48.61171838387236
27,pri_pvem,41.232887608217936,40.43039701524645,42.035378201189424
27,prd,5.1682028375378195,4.708915557326651,5.627490117748988
27,otros,3.3971956583991436,3.222159032972384,3.5722322838259033
27,pt,1.3197289502737912,1.0286002512195431,1.6108576493280393
27,mc,1.109641169091225,0.70521534266554875,1.514066995516901
28,pan_na,47.64173139117884,46.82105544302726,48.46240733933041
28,pri_pvem,41.24465015974311,40.45991784082636,42.02938247865986
28,prd,5.141424985873979,4.663848512904596,5.619001458843361
28,otros,3.6893454528675873,3.3614764136198696,4.017214492115305
