n_sample,party,est,LI,LS
1,mc,1.0941600712891086,0.8066966852073898,1.3746661709918835
1,otros,3.669333811042796,3.382099081848818,3.966726147858674
1,pan_na,48.71591953534889,47.91220999339365,49.571107562017325
1,prd,5.095639072545578,4.62411246321675,5.5762854091957905
1,pri_pvem,40.20049146836237,39.395861890222044,41.01799819158242
1,pt,1.2244560414112609,1.1090174833879156,1.3495558472830627
10,mc,0.8241705522256826,0.6516608942094451,1.0256250517946404
10,otros,3.343946180772907,3.166268222109525,3.514277667490545
10,pan_na,49.51636448069817,48.63418691644128,50.34609571358659
10,prd,4.894439772051072,4.4876732944190545,5.29271778501493
10,pri_pvem,40.236591332359886,39.316909858229735,41.11907813465261
10,pt,1.1844876818922836,1.056347695019343,1.3165303892818423
100,mc,0.7423429295983045,0.6252940989866849,0.8638309913099542
100,otros,3.857820152891902,3.4395875830360723,4.362773532051052
100,pan_na,48.59872645125409,47.69701751432267,49.434378245907254
100,prd,5.130900118738434,4.698603099070726,5.576062877947515
100,pri_pvem,40.493510363669905,39.684156775349734,41.32646845439993
100,pt,1.1766999838473688,1.0675788872508136,1.2883020674828425
11,mc,0.9259569770567748,0.7352252586505956,1.1246453344655551
11,otros,3.648294998154246,3.3156327473048357,3.997793312327119
11,pan_na,49.168589870039845,48.28492664264414,50.061758803590166
11,prd,4.919954803833346,4.480180513777474,5.355558753818672
11,pri_pvem,40.0301534163566,39.18217416249817,40.907742347285165
11,pt,1.3070499345591917,1.1462863394646157,1.4804042351383984
12,mc,0.8248864911473365,0.643547943352071,1.0232416360591576
12,otros,3.901314401421075,3.464137715499146,4.417605574889891
12,pan_na,47.95540871950406,47.18011832028839,48.72518257709082
12,prd,5.540182644916292,5.0781268533936235,5.996210043418717
12,pri_pvem,40.57222311459799,39.77770016673265,41.32094497335538
12,pt,1.2059846284132514,1.0862887493075604,1.3317992628127422
13,mc,1.0128089758439616,0.745054472025792,1.285637287546095
13,otros,3.3525264775180337,3.1764662526281766,3.531643959492947
13,pan_na,48.59803306239269,47.73043600724724,49.41807162091304
13,prd,5.160492204092474,4.703144427331209,5.604973212979908
13,pri_pvem,40.74975009209441,39.87688114821223,41.59035248839574
13,pt,1.126389188058432,1.0331926763054713,1.221604344715184
14,mc,0.9847906965164783,0.74923164857427,1.2418574760846222
14,otros,3.547044051229149,3.3649185602789715,3.716324958899647
14,pan_na,48.07200776519983,47.23575447925321,48.82397362009564
14,prd,5.131478301637907,4.714114134154141,5.518255833730504
14,pri_pvem,41.036806813841046,40.287187123307525,41.84601639831361
