n_sample,party,est,LI,LS
1,pan_na,47.65367173316105,46.90962465104275,48.39771881527935
1,pri_pvem,40.93045552580119,40.15944663837052,41.70146441323187
1,prd,5.273451054954377,4.670192528868413,5.87670958104034
1,otros,3.6990104631900516,3.456896015457892,3.9411249109222113
1,pt,1.269130219795387,1.0761189208366795,1.4621415187540947
1,mc,1.174281003097943,0.8216609587286584,1.5269010474672275
2,pan_na,47.87088356854664,47.09301707806624,48.64875005902704
2,pri_pvem,40.657153783165064,39.92267615187462,41.39163141445551
2,prd,5.413451017245852,4.891601894704166,5.935300139787538
2,otros,3.7040742758960117,3.4351830930395173,3.972965458752506
2,pt,1.2616194490820216,1.0630296526869396,1.4602092454771036
2,mc,1.0928179060644185,0.7724139536486752,1.413221858480162
3,pan_na,47.66995534369207,46.89554918583238,48.444361501551754
3,pri_pvem,41.406374082529744,40.65917689386376,42.15357127119573
3,prd,5.280956736813716,4.77890335086809,5.783010122759341
3,otros,3.5109943055001676,3.351607752616551,3.6703808583837843
3,pt,1.2403074835769075,1.0444194778964995,1.4361954892573154
3,mc,0.8914120478874006,0.6515526324790745,1.1312714632957268
4,pan_na,47.462088495179025,46.675390778276146,48.2487862120819
4,pri_pvem,40.70124156801926,39.92000235327585,41.48248078276268
4,prd,5.533368616357651,4.998789059184958,6.067948173530345
4,otros,3.857974647513205,3.60907872135359,4.10687057367282
4,pt,1.4117142937222473,1.184684165434806,1.6387444220096887
4,mc,1.0336123792086045,0.7099001943009887,1.3573245641162202
5,pan_na,47.65659426449335,46.8911824680882,48.4220060608985
5,pri_pvem,41.100521891572065,40.38641240033625,41.81463138280788
5,prd,5.440404465692715,4.90281648209183,5.977992449293599
5,otros,3.744682692982647,3.4426272976064203,4.0467380883588735
5,pt,1.313172719153738,1.1235109353023458,1.50283450300513
5,mc,0.7446239661054801,0.6119881289835447,0.8772598032274155
6,pan_na,47.468670134464006,46.73555263556674,48.20178763336127
6,pri_pvem,41.02036270446637,40.283336390540015,41.75738901839273
6,prd,5.405948033720369,4.9287404622289,5.883155605211838
6,otros,3.7369934496484363,3.5531050227296825,3.92088187656719
6,pt,1.2877694109166087,1.0841449187021066,1.4913939031311108
6,mc,1.0802562667842095,0.7321405583279781,1.428371975240441
7,pan_na,47.96734339053119,47.127043225387155,48.80764355567523
7,pri_pvem,40.45066294187421,39.66582216455249,41.235503719195925
7,prd,5.435983779465441,4.794228735654589,6.077738823276293
7,otros,3.5968779920841296,3.3869402384894047,3.8068157456788545
7,pt,1.4653075051676245,1.2197374301841353,1.7108775801511138
7,mc,1.083824390877409,0.6070082254471407,1.5606405563076773
8,pan_na,47.48167392791733,46.763104672718804,48.20024318311585
8,pri_pvem,41.3044106550641,40.59936454328758,42.00945676684063
8,prd,5.325277601308944,4.887636528426253,5.762918674191635
8,otros,3.552129389064054,3.3726549060406743,3.731603872087434
8,pt,1.4320953610711475,1.1281417055231941,1.736049016619101
8,mc,0.9044130655744279,0.6191485724104717,1.189677558738384
9,pan_na,47.03388045751029,46.24724348999137,47.820517425029216
9,pri_pvem,41.51859498474057,40.72324118377374,42.313948785707396
9,prd,5.183564707267902,4.715148519769489,5.651980894766314
9,otros,4.006399925583913,3.670738538264984,4.342061312902841
9,pt,1.4755067609697157,1.1873265864866756,1.7636869354527558
9,mc,0.7820531639276093,0.620408533473931,0.9436977943812875
10,pan_na,48.56406929411757,47.778228555396666,49.34991003283848
10,pri_pvem,40.82121905494448,40.07307805075971,41.569360059129245
10,prd,5.023783065388888,4.548301672039099,5.4992644587386765
10,otros,3.476954438145236,3.30415620357214,3.6497526727183325
10,pt,1.2279572845542557,1.0240217218246914,1.43189284728382
10,mc,0.8860168628495672,0.6131081856238707,1.1589255400752636
11,pan_na,48.261334989304835,47.45637356572988,49.06629641287979
11,pri_pvem,40.515033283038676,39.7411302741376,41.28893629193975
11,prd,5.036237722913183,4.603068969414507,5.4694064764118595
11,otros,3.5992536656201426,3.345759975257289,3.8527473559829963
11,pt,1.3563497923710561,1.1279524496477071,1.5847471350944051
11,mc,1.231790546752104,0.8684359203656523,1.5951451731385555
12,pan_na,47.381042295320405,46.609924117917984,48.15216047272283
12,pri_pvem,40.91198725971356,40.16267938253951,41.66129513688762
12,prd,5.77486593352288,5.190711026124952,6.359020840920807
12,otros,3.781765281174327,3.4900794464077114,4.073451115940943
12,pt,1.3179797918693286,1.118209887439097,1.51774969629956
12,mc,0.8323594383994983,0.5815972632241702,1.0831216135748265
13,pan_na,47.77331120416476,47.03844897563102,48.508173432698506
13,pri_pvem,41.00303595930236,40.28345649814481,41.72261542045991
13,prd,5.579280451676877,5.05509389967551,6.103467003678244
13,otros,3.4877543203402652,3.2957184154692376,3.679790225211293
13,pt,1.1349651788061255,1.0347963567891516,1.2351340008230993
13,mc,1.0216528857096092,0.6627710599237222,1.3805347114954962
14,pan_na,46.9598502552818,46.165117949115846,47.754582561447755
14,pri_pvem,41.76608484437419,40.961918526573704,42.57025116217468
14,prd,5.3351833137594955,4.766337142601931,5.90402948491706
14,otros,3.562315431313965,3.3769939418741504,3.7476369207537794
14,pt,1.2620963348359022,1.1088235619901434,1.415369107681661
14,mc,1.1144698204346501,0.7154632407888128,1.5134764000804874
15,pan_na,47.50466180494189,46.68139160816207,48.327932001721706
15,pri_pvem,41.31133902224657,40.54134200004395,42.081336044449195
15,prd,5.335788425715922,4.849199400702706,5.822377450729138
15,otros,3.472603405568437,3.294542101080254,3.65066471005662
15,pt,1.3614163283039338,1.1693887584331786,1.553443898174689
15,mc,1.0141910132232475,0.6942475670431218,1.334134459403373
16,pan_na,47.94451535550739,47.16320188802338,48.7258288229914
16,pri_pvem,41.08490943945126,40.34417937538557,41.825639503516946
16,prd,5.0135694554139345,4.512099385567441,5.515039525260428
