casilla_id,distrito_fed_17,distrito_fed_12,distrito_loc_17,distrito_loc_12,are,seccion,casilla,tipo_seccion,pri_pvem,pan_na,prd,pt,mc,otros,total,ln,tamano_md,tamano_gd,region,casilla_ex,rural,ln_total,prob_miss
3815,13,11,18,13,11-61,6,B-C,U,157,219,2,1,1,11,391,582,1,0,1,0,0,582,3
1101,6,3,7,4,3-39,1336,B-C,U,182,152,4,4,2,8,352,604,1,0,1,0,0,604,3
1915,6,3,7,7,3-52,1395,B-C,U,234,189,11,4,2,10,450,705,1,0,1,0,0,705,3
5833,13,13,19,19,13-82,2863,E,M,50,150,140,3,1,20,364,675,1,0,2,1,0,675,2
4801,12,12,16,16,12-19,424,B-C,U,108,118,12,2,2,11,253,424,0,0,2,0,0,424,3
3394,15,9,11,11,9-48,1099,B-C,U,178,164,9,1,0,14,366,684,0,1,1,0,0,684,3
3980,8,8,14,13,8-90,2183,B-C,U,130,155,13,3,5,12,318,535,1,0,2,0,0,535,3
3372,15,9,12,11,9-56,1090,B-C,U,153,81,14,8,2,5,263,495,0,0,1,0,0,495,3
178,4,1,1,1,1-88,2385,B-C,U,220,125,16,8,2,13,384,615,1,0,1,0,0,615,3
5343,7,11,10,18,11-100,582,B-C,R,159,136,5,3,0,9,312,517,1,0,1,0,1,517,1
2743,1,4,8,9,4-10,765,B-C,U,187,160,8,4,8,9,376,563,1,0,1,0,0,563,3
6039,10,10,20,20,10-70,2803,B-C,U,107,211,9,2,0,0,329,544,1,0,2,0,0,544,3
6650,14,14,22,22,14-79,1206,B-C,U,109,112,97,1,4,13,336,525,1,0,2,0,0,525,3
5792,13,13,19,19,13-70,2847,B-C,U,29,171,84,5,2,19,310,591,1,0,2,0,0,591,3
4741,12,12,16,16,12-21,355,B-C,U,157,133,29,2,2,7,330,525,1,0,2,0,0,525,3
4475,12,12,15,15,12-55,434,B-C,U,105,238,13,4,2,9,371,533,1,0,2,0,0,533,3
6425,10,10,20,21,10-40,2331,B-C,U,73,207,16,1,1,12,310,515,1,0,2,0,0,515,3
915,3,3,3,4,3-2,1271,B-C,U,156,136,7,7,3,12,321,620,1,0,1,0,0,620,3
