casilla_id,distrito_fed_17,distrito_fed_12,distrito_loc_17,distrito_loc_12,are,seccion,casilla,tipo_seccion,pri_pvem,pan_na,prd,pt,mc,otros,total,ln,tamano_md,tamano_gd,region,casilla_ex,rural,ln_total
451,1,1,2,2,1-46,2557,B-C,U,119,151,15,10,8,16,319,566,1,0,2,0,0,566
504,1,1,2,2,1-36,2587,B-C,U,131,117,17,3,4,23,295,637,1,0,2,0,0,637
454,1,1,2,2,1-47,2558,B-C,U,154,330,25,5,7,19,540,636,1,0,2,0,0,636
226,4,1,1,1,1-74,2409,B-C,M,127,134,7,3,2,21,294,551,1,0,1,0,0,551
171,4,1,1,1,1-86,2382,B-C,U,165,99,18,0,1,11,294,506,1,0,1,0,0,506
109,4,1,1,1,1-63,2347,B-C,U,201,199,12,20,1,9,442,648,1,0,1,0,0,648
178,4,1,1,1,1-88,2385,B-C,U,220,125,16,8,2,13,384,615,1,0,1,0,0,615
441,1,1,2,2,1-50,2553,B-C,U,216,183,14,4,3,16,436,705,1,0,2,0,0,705
515,1,1,2,2,1-37,2592,B-C,M,158,143,21,14,2,22,360,564,1,0,2,0,0,564
544,1,1,2,2,1-18,2604,B-C,M,177,311,5,0,1,11,505,665,1,0,2,0,0,665
113,4,1,1,1,1-63,2349,B-C,U,175,170,13,24,2,18,402,610,1,0,1,0,0,610
167,4,1,1,1,1-87,2380,B-C,U,223,127,9,2,0,15,376,629,1,0,1,0,0,629
139,4,1,1,1,1-61,2365,B-C,R,49,113,4,6,0,11,183,398,0,0,1,0,1,398
272,4,1,1,1,1-89,2435,B-C,R,114,89,14,4,0,18,239,401,0,0,1,0,1,401
517,1,1,2,2,1-37,2593,B-C,R,149,95,39,7,1,0,291,607,1,0,2,0,1,607
586,1,1,2,2,1-21,2901,B-C,R,162,217,22,3,1,22,427,614,0,0,2,0,1,614
142,4,1,1,1,1-67,2367,B-C,R,65,170,6,27,1,11,280,504,0,0,1,0,1,504
497,1,1,2,2,1-52,2585,B-C,R,122,135,22,5,5,27,316,581,1,0,2,0,1,581
611,1,1,2,2,1-14,2943,B-C,R,158,99,2,0,0,11,270,345,0,0,2,0,1,345
512,1,1,2,2,1-53,2590,B-C,R,85,208,26,9,0,29,357,691,1,0,2,0,1,691
491,1,1,2,2,1-41,2582,B-C,R,101,145,8,1,2,26,283,644,1,0,2,0,1,644
275,4,1,1,1,1-93,2436,B-C,R,213,60,2,5,0,13,293,469,0,0,1,0,1,469
194,4,1,1,1,1-96,2391,B-C,R,205,130,23,0,2,15,375,587,0,0,1,0,1,587
286,4,1,1,1,1-94,2444,B-C,R,154,165,4,2,1,14,340,558,0,0,1,0,1,558
120,4,1,1,1,1-60,2354,B-C,R,89,162,22,8,0,14,295,481,0,0,1,0,1,481
200,4,1,1,1,1-70,2394,B-C,R,146,140,3,1,0,5,295,479,0,0,1,0,1,479
589,1,1,2,2,1-28,2903,B-C,R,191,132,43,1,0,24,391,541,1,0,2,0,1,541
5965,10,10,20,20,10-11,1884,B-C,U,119,212,34,8,7,24,404,741,1,0,2,0,0,741
6352,10,10,20,21,10-24,2289,B-C,U,73,124,13,5,3,30,248,503,1,0,2,0,0,503
5278,14,10,15,17,10-51,2752,B-C,U,83,196,34,1,2,12,328,548,1,0,2,0,0,548
6312,10,10,20,21,10-18,2269,B-C,U,109,148,22,3,3,18,303,490,0,0,2,0,0,490
6093,10,10,20,20,10-82,2959,B-C,U,129,180,14,62,2,11,398,648,1,0,2,0,0,648
6011,10,10,20,20,10-64,2792,B-C,U,179,153,12,2,1,8,355,582,1,0,2,0,0,582
6021,10,10,20,20,10-64,2796,B-C,U,134,201,10,3,1,5,354,517,1,0,2,0,0,517
6155,10,10,20,20,10-92,2993,B-C,U,58,161,6,2,0,4,231,526,1,0,2,0,0,526
6420,10,10,20,21,10-38,2329,B-C,M,102,195,15,8,3,7,330,641,1,0,2,0,0,641
5279,14,10,15,17,10-52,2753,B-C,U,73,131,39,2,5,17,267,429,0,0,2,0,0,429
6047,10,10,20,20,10-71,2807,B-C,U,178,210,19,6,1,27,441,701,1,0,2,0,0,701
6090,10,10,20,20,10-81,2958,B-C,U,142,187,9,42,4,23,407,675,1,0,2,0,0,675
6418,10,10,20,21,10-39,2328,B-C,U,90,221,13,4,3,14,345,656,1,0,2,0,0,656
5937,10,10,20,20,10-6,1871,B-C,U,68,155,19,1,9,14,266,438,0,0,2,0,0,438
6360,10,10,20,21,10-26,2294,B-C,U,80,199,25,2,5,16,327,615,0,0,2,0,0,615
6001,10,10,20,20,10-62,2790,B-C,U,154,185,12,6,2,18,377,673,1,0,2,0,0,673
6403,10,10,20,21,10-35,2320,B-C,U,57,198,24,1,2,13,295,522,1,0,2,0,0,522
6147,10,10,20,20,10-96,2990,B-C,R,92,52,7,7,0,5,163,458,0,0,2,0,1,458
5294,14,10,15,17,10-56,2763,B-C,R,141,151,11,2,2,10,317,619,1,0,2,0,1,619
6178,10,10,20,20,10-14,3005,B-C,R,59,111,5,6,0,14,195,434,0,0,2,0,1,434
6441,10,10,20,21,10-43,2340,B-C,R,37,123,12,1,0,0,173,397,0,0,2,0,1,397
6378,10,10,20,21,10-26,2306,B-C,R,77,143,15,0,0,7,242,503,1,0,2,0,1,503
5316,14,10,15,17,10-61,2777,B-C,R,91,224,14,1,2,15,347,745,1,0,2,0,1,745
6118,10,10,20,20,10-87,2971,B-C,R,88,103,13,8,1,13,226,436,0,0,2,0,1,436
5282,14,10,15,17,10-53,2755,B-C,R,33,63,3,0,3,3,105,220,0,0,2,0,1,220
6358,10,10,20,21,10-25,2292,B-C,R,90,150,32,4,6,24,306,650,0,0,2,0,1,650
6175,10,10,20,20,10-96,3003,B-C,R,72,112,0,1,0,9,194,435,0,0,2,0,1,435
3806,13,11,18,13,11-62,2,B-C,U,129,300,5,1,1,12,448,616,1,0,1,0,0,616
3817,13,11,18,13,11-61,6,B-C,U,156,216,7,3,0,13,395,582,1,0,1,0,0,582
5459,7,11,18,18,11-39,1930,B-C,U,204,193,6,4,3,9,419,623,1,0,1,0,0,623
5444,7,11,18,18,11-44,1924,B-C,U,170,157,8,4,0,11,350,535,1,0,1,0,0,535
5455,7,11,18,18,11-39,1928,B-C,U,195,160,5,0,0,11,371,568,1,0,1,0,0,568
3811,13,11,18,13,11-65,4,B-C,U,150,210,9,3,1,8,381,528,1,0,1,0,0,528
3821,13,11,18,13,11-64,8,B-C,U,179,296,11,3,1,19,509,713,1,0,1,0,0,713
5427,7,11,18,18,11-41,1915,B-C,U,188,216,10,2,0,7,423,687,1,0,1,0,0,687
3807,13,11,18,13,11-62,2,B-C,U,115,288,8,1,0,3,415,616,1,0,1,0,0,616
3812,13,11,18,13,11-65,4,B-C,U,104,259,12,0,3,6,384,527,1,0,1,0,0,527
5515,7,11,18,18,11-19,1964,B-C,U,130,172,3,0,0,11,316,560,1,0,1,0,0,560
3860,13,11,18,13,11-74,24,B-C,U,126,235,10,0,3,27,401,556,1,0,1,0,0,556
